section,Section/ station,Line,Other Line Affected,From,To,Duration
AJJ-RU,AJJ-AJJN,DN,NULL,00:30,03:30,03:00
AJJ-RU,MLPM-AJJN,DN,NULL,00:30,03:30,03:00
AJJ-RU,AJJN-TRT,DN,NULL,00:30,03:30,03:00
AJJ-RU,TRT-POI,DN,NULL,01:00,04:00,03:00
AJJ-RU,POI-VKZ,DN,NULL,01:00,04:00,03:00
AJJ-RU,VKZ-NG,DN,NULL,01:00,04:00,03:00
AJJ-RU,NG-EKM,DN,NULL,01:00,04:00,03:00
AJJ-RU,EKM-VGA,DN,NULL,01:00,04:00,03:00
AJJ-RU,VGA-PUT,DN,NULL,01:00,04:00,03:00
AJJ-RU,PUT-TDK,DN,NULL,01:00,04:00,03:00
AJJ-RU,TDK-PUDI,DN,NULL,01:00,04:00,03:00
AJJ-RU,PUDI-RU,DN,NULL,01:00,04:00,03:00
AJJ-RU,AJJ-AJJN,UP,NULL,23:30,02:30,03:00
AJJ-RU,MLPM-AJJN,UP,NULL,23:30,02:30,03:00
AJJ-RU,AJJN-TRT,UP,NULL,23:30,02:30,03:00
AJJ-RU,TRT-POI,UP,NULL,21:00,00:00,03:00
AJJ-RU,POI-VKZ,UP,NULL,21:00,00:00,03:00
AJJ-RU,VKZ-NG,UP,NULL,21:00,00:00,03:00
AJJ-RU,NG-EKM,UP,NULL,21:00,00:00,03:00
AJJ-RU,EKM-VGA,UP,NULL,21:00,00:00,03:00
AJJ-RU,VGA-PUT,UP,NULL,21:00,00:00,03:00
AJJ-RU,PUT-TDK,UP,NULL,21:00,00:00,03:00
AJJ-RU,TDK-PUDI,UP,NULL,21:00,00:00,03:00
AJJ-RU,PUDI-RU,UP,NULL,21:00,00:00,03:00
AJJ-RU,AJJ-YD,DN,NULL,00:30,03:30,03:00
AJJ-RU,MLPM-YD,DN,NULL,00:30,03:30,03:00
AJJ-RU,AJJN-YD,DN,NULL,00:30,03:30,03:00
AJJ-RU,TRT-YD,DN,NULL,01:00,04:00,03:00
AJJ-RU,POI-YD,DN,NULL,01:00,04:00,03:00
AJJ-RU,NG-YD,DN,NULL,01:00,04:00,03:00
AJJ-RU,VAG-YD,DN,NULL,01:00,04:00,03:00
AJJ-RU,PUT-YD,DN,NULL,01:00,04:00,03:00
AJJ-RU,TDK-YD,DN,NULL,01:00,04:00,03:00
AJJ-RU,PUDI-YD,DN,NULL,01:00,04:00,03:00
AJJ-RU,RU-YD,DN,NULL,01:00,04:00,03:00
AJJ-RU,AJJ-YD,UP,NULL,23:30,02:30,03:00
AJJ-RU,MLPM-YD,UP,NULL,23:30,02:30,03:00
AJJ-RU,AJJN-YD,UP,NULL,23:30,02:30,03:00
AJJ-RU,TRT-YD,UP,NULL,21:00,00:00,03:00
AJJ-RU,POI-YD,UP,NULL,21:00,00:00,03:00
AJJ-RU,NG-YD,UP,NULL,21:00,00:00,03:00
AJJ-RU,VAG-YD,UP,NULL,21:00,00:00,03:00
AJJ-RU,PUT-YD,UP,NULL,21:00,00:00,03:00
AJJ-RU,TDK-YD,UP,NULL,21:00,00:00,03:00
AJJ-RU,PUDI-YD,UP,NULL,21:00,00:00,03:00
AJJ-RU,RU-YD,UP,NULL,21:00,00:00,03:00
MAS-AJJ,MAS-BBQ,Down slow,NULL,00:30,03:30,03:00
