section,Section/ station,Line,Otheraffectedlines,From,To,Duration
AJJ-RU,AJJ-AJJN,DN,NULL,00:30,03:30,3:00
AJJ-RU,MLPM-AJJN,DN,NULL,00:30,03:30,3:00
AJJ-RU,AJJN-TRT,DN,NULL,00:40,03:40,3:00
AJJ-RU,TRT-POI,DN,NULL,00:45,03:40,2:55
AJJ-RU,POI-NG,DN,NULL,00:50,03:50,3:00
AJJ-RU,NG-VAG,DN,NULL,00:55,03:55,3:00
AJJ-RU,VGA-PUT,DN,NULL,01:00,04:00,3:00
AJJ-RU,PUT-TDK,DN,NULL,01:05,04:05,3:00
AJJ-RU,TDK-PUDI,DN,NULL,01:15,04:15,3:00
AJJ-RU,PUDI-RU,DN,NULL,01:30,04:30,3:00
AJJ-RU,AJJ-AJJN,UP,NULL,01:10,04:10,3:00
AJJ-RU,MLPM-AJJN,UP,NULL,01:05,04:05,3:00
AJJ-RU,AJJN-TRT,UP,NULL,01:00,04:00,3:00
AJJ-RU,TRT-POI,UP,NULL,00:55,03:55,3:00
AJJ-RU,POI-NG,UP,NULL,00:50,03:50,3:00
AJJ-RU,NG-VAG,UP,NULL,00:40,03:40,3:00
AJJ-RU,VGA-PUT,UP,NULL,00:30,03:30,3:00
AJJ-RU,PUT-TDK,UP,NULL,00:25,03:25,3:00
AJJ-RU,TDK-PUDI,UP,NULL,00:15,03:15,3:00
AJJ-RU,PUDI-RU,UP,NULL,00:10,03:10,3:00
AJJ-RU,AJJ-YD,DN,NULL,00:30,03:30,3:00
AJJ-RU,MLPM-YD,DN,NULL,00:30,03:30,3:00
AJJ-RU,AJJN-YD,DN,NULL,00:40,03:40,3:00
AJJ-RU,TRT-YD,DN,NULL,00:45,04:45,4:00
AJJ-RU,POI-YD,DN,NULL,00:50,03:50,3:00
AJJ-RU,NG-YD,DN,NULL,00:55,03:55,3:00
AJJ-RU,VAG-YD,DN,NULL,01:00,04:00,3:00
AJJ-RU,PUT-YD,DN,NULL,01:05,04:05,3:00
AJJ-RU,TDK-YD,DN,NULL,01:15,04:15,3:00
AJJ-RU,PUDI-YD,DN,NULL,01:30,04:30,3:00
AJJ-RU,RU-YD,DN,NULL,01:30,04:30,3:00
AJJ-RU,AJJ-YD,UP,NULL,01:10,04:10,3:00
AJJ-RU,MLPM-YD,UP,NULL,01:05,04:05,3:00
AJJ-RU,AJJN-YD,UP,NULL,01:00,04:00,3:00
AJJ-RU,TRT-YD,UP,NULL,00:55,03:55,3:00
AJJ-RU,POI-YD,UP,NULL,00:50,03:50,3:00
AJJ-RU,NG-YD,UP,NULL,00:40,03:40,3:00
AJJ-RU,VAG-YD,UP,NULL,00:30,03:30,3:00
AJJ-RU,PUT-YD,UP,NULL,00:25,03:25,3:00
AJJ-RU,TDK-YD,UP,NULL,00:15,03:15,3:00
AJJ-RU,PUDI-YD,UP,NULL,00:10,03:10,3:00
AJJ-RU,RU-YD,UP,NULL,00:10,03:10,3:00
MAS-AJJ,MAS-BBQ,Down slow,NULL,00:30,03:30,3:00
MAS-AJJ,MASS-BBQ,Down slow,NULL,00:30,03:30,3:00
MAS-AJJ,BBQ-VPY,Down slow,NULL,00:35,03:35,3:00
MAS-AJJ,VPY-VLK,Down slow,NULL,00:50,03:50,3:00
MAS-AJJ,VLK-ABU,Down slow,NULL,01:00,04:00,3:00
MAS-AJJ,ABU-AVD,Down slow,NULL,01:05,03:35,2:30
MAS-AJJ,AVD-PAB,Down slow,NULL,00:15,03:00,2:45
MAS-AJJ,PAB-TI,Down slow,NULL,00:20,03:20,3:00
MAS-AJJ,TI-TRL,Down slow,NULL,00:35,03:35,3:00
MAS-AJJ,TRL-KBT,Down slow,NULL,00:35,03:35,3:00
MAS-AJJ,KBT-TO,Down slow,NULL,00:45,03:45,3:00
MAS-AJJ,TO-AJJ,Down slow,NULL,00:50,03:50,3:00
MAS-AJJ,MAS-YD,Down slow,NULL,00:30,03:30,3:00
MAS-AJJ,MASS-YD,Down slow,NULL,23:30,02:30,3:00
MAS-AJJ,BBQ-YD,Down slow,NULL,00:30,03:30,3:00
MAS-AJJ,MMCC-YD,Down slow,NULL,00:30,03:30,3:00
MAS-AJJ,VPY-YD,Down slow,NULL,00:35,03:35,3:00
MAS-AJJ,VLK-YD,Down slow,NULL,00:50,03:50,3:00
MAS-AJJ,ABU-YD,Down slow,NULL,01:00,04:00,3:00
MAS-AJJ,AVD-YD,Down slow,NULL,01:05,03:35,2:30
MAS-AJJ,PAB-YD,Down slow,NULL,00:15,03:00,2:45
MAS-AJJ,TI-YD,Down slow,NULL,00:20,03:20,3:00
MAS-AJJ,TRL-YD,Down slow,NULL,00:35,03:35,3:00
MAS-AJJ,KBT-YD,Down slow,NULL,00:35,03:35,3:00
MAS-AJJ,TO-YD,Down slow,NULL,00:45,03:45,3:00
MAS-AJJ,AJJ-YD,Down slow,NULL,00:50,03:50,3:00
MAS-AJJ,MAS-BBQ,Up fast,NULL,23:30,02:30,3:00
MAS-AJJ,MASS-BBQ,Up fast,NULL,23:30,02:30,3:00
MAS-AJJ,MMCC-BBQ,Up fast,NULL,23:30,02:30,3:00
MAS-AJJ,BBQ-VPY,Up fast,NULL,23:20,02:20,3:00
MAS-AJJ,VPY-VLK,Up fast,NULL,23:15,02:15,3:00
MAS-AJJ,VLK-ABU,Up fast,NULL,23:05,02:05,3:00
MAS-AJJ,ABU-AVD,Up fast,NULL,23:00,02:00,3:00
MAS-AJJ,AVD-PAB,Up fast,NULL,22:55,01:55,3:00
MAS-AJJ,PAB-TI,Up fast,NULL,22:50,01:50,3:00
MAS-AJJ,TI-TRL,Up fast,NULL,22:45,01:45,3:00
MAS-AJJ,TRL-KBT,Up fast,NULL,22:40,01:40,3:00
MAS-AJJ,KBT-TO,Up fast,NULL,22:35,01:35,3:00
MAS-AJJ,TO-AJJ,Up fast,NULL,22:30,01:30,3:00
MAS-AJJ,MAS-YD,Up fast,NULL,23:30,02:30,3:00
MAS-AJJ,MASS-YD,Up fast,NULL,22:30,01:30,3:00
MAS-AJJ,BBQ-YD,Up fast,NULL,23:30,02:30,3:00
MAS-AJJ,MMCC-YD,Up fast,NULL,23:20,02:20,3:00
MAS-AJJ,VPY-YD,Up fast,NULL,23:15,02:15,3:00
MAS-AJJ,VLK-YD,Up fast,NULL,23:05,02:05,3:00
MAS-AJJ,ABU-YD,Up fast,NULL,23:00,02:00,3:00
MAS-AJJ,AVD-YD,Up fast,NULL,22:55,01:55,3:00
MAS-AJJ,PAB-YD,Up fast,NULL,22:50,01:50,3:00
MAS-AJJ,TI-YD,Up fast,NULL,22:45,01:45,3:00
MAS-AJJ,TRL-YD,Up fast,NULL,22:40,01:40,3:00
MAS-AJJ,KBT-YD,Up fast,NULL,22:35,01:35,3:00
MAS-AJJ,TO-YD,Up fast,NULL,22:30,01:30,3:00
MAS-AJJ,AJJ-YD,Up fast,NULL,22:20,01:20,3:00
MAS-AJJ,MAS-BBQ,Down fast,NULL,23:55,02:55,3:00
MAS-AJJ,MASS-BBQ,Down fast,NULL,23:55,02:55,3:00
